OBJECTID,crime_description,district
12221,Miscellaneous/Suicide,Northeast
12223,Miscellaneous/All Other Non-Offenses,North
12224,Miscellaneous/Found Property,Downtown
12225,Miscellaneous/All Other Non-Offenses,Northeast
12226,Miscellaneous/All Other Non-Offenses,North
12227,Miscellaneous/Overdose,Northeast
12228,Miscellaneous/All Other Non-Offenses,Southeast
12229,Miscellaneous/All Other Non-Offenses,Southeast
12230,Miscellaneous/Mental Commitment,North
12231,Miscellaneous/Found Property,Downtown
12232,Miscellaneous/All Other Non-Offenses,Downtown
12234,Miscellaneous/All Other Non-Offenses,Southwest
12235,Miscellaneous/Mental Commitment,Northeast
12236,Miscellaneous/All Other Non-Offenses,Southeast
12237,Miscellaneous/All Other Non-Offenses,Southeast
12238,Miscellaneous/All Other Non-Offenses,Downtown
12240,Miscellaneous/Deceased Person,North
12241,Miscellaneous/Mental Commitment,Southeast
12242,Miscellaneous/All Other Non-Offenses,Northeast
12243,Miscellaneous/Lost Property,North
12244,Miscellaneous/All Other Non-Offenses,Southeast
12245,Miscellaneous/All Other Non-Offenses,Southeast
12246,Miscellaneous/Mental Commitment,North
12247,Miscellaneous/Mental Commitment,Northwest
12248,Miscellaneous/Overdose,Northwest
12249,Miscellaneous/All Other Non-Offenses,Downtown
12250,Miscellaneous/Lost Property,Northeast
12251,Miscellaneous/All Other Non-Offenses,Southwest
12252,Miscellaneous/All Other Non-Offenses,Downtown
12253,Miscellaneous/Mental Commitment,Northwest
12254,Miscellaneous/Lost Property,Northeast
12255,Sex Offense/Forcible Rape,Southeast
12256,Miscellaneous/All Other Non-Offenses,Northeast
12257,Miscellaneous/All Other Non-Offenses,North
12258,Miscellaneous/Overdose,North
12259,Miscellaneous/Found Property,Northeast
12260,Miscellaneous/All Other Non-Offenses,Northeast
12261,Miscellaneous/Deceased Person,Southwest
12262,Child Abuse/Aggravated,Southeast
12263,Miscellaneous/All Other Non-Offenses,Southeast
12264,Miscellaneous/All Other Non-Offenses,Southeast
12266,Sex Offense/Peeping Tom,Southeast
12267,Miscellaneous/All Other Non-Offenses,Northeast
12268,Miscellaneous/All Other Non-Offenses,Northwest
12269,Miscellaneous/All Other Non-Offenses,Northeast
12270,Miscellaneous/All Other Non-Offenses,Southeast
12271,Miscellaneous/Lost Property,Northwest
12272,Miscellaneous/All Other Non-Offenses,Northwest
12273,Miscellaneous/All Other Non-Offenses,North
12274,Miscellaneous/Deceased Person,Southwest
12275,Miscellaneous/All Other Non-Offenses,Southwest
12276,Miscellaneous/All Other Non-Offenses,Southeast
12277,Miscellaneous/All Other Non-Offenses,North
12278,Miscellaneous/Mental Commitment,Northwest
12279,Miscellaneous/Lost Property,Downtown
12280,Miscellaneous/All Other Non-Offenses,Northeast
12281,Miscellaneous/All Other Non-Offenses,Downtown
12282,Miscellaneous/Lost Property,North
12283,Miscellaneous/All Other Non-Offenses,North
12285,Miscellaneous/All Other Non-Offenses,North
12287,Miscellaneous/All Other Non-Offenses,Northwest
12288,Miscellaneous/All Other Non-Offenses,Downtown
12289,Miscellaneous/All Other Non-Offenses,Southeast
12290,Miscellaneous/All Other Non-Offenses,Northeast
12292,Miscellaneous/All Other Non-Offenses,Southeast
12293,Miscellaneous/All Other Non-Offenses,Southeast
12294,Sex Offense/Forcible Rape,Northeast
12295,Miscellaneous/All Other Non-Offenses,Southwest
12296,Miscellaneous/All Other Non-Offenses,Northeast
12297,Miscellaneous/Mental Commitment,North
12298,Miscellaneous/All Other Non-Offenses,Southwest
12299,Miscellaneous/All Other Non-Offenses,Southeast
12300,Miscellaneous/All Other Non-Offenses,Southwest
12302,Sex Offense/Forcible Fondling,Southeast
12303,Miscellaneous/All Other Non-Offenses,Downtown
12304,Miscellaneous/All Other Non-Offenses,North
12305,Miscellaneous/All Other Non-Offenses,Southeast
12306,Miscellaneous/All Other Non-Offenses,North
12308,Miscellaneous/Found Property,Southeast
12310,Miscellaneous/All Other Non-Offenses,Northeast
12311,Miscellaneous/All Other Non-Offenses,Downtown
12313,Sex Offense/Peeping Tom,Northwest
12314,Miscellaneous/All Other Non-Offenses,North
12315,Miscellaneous/All Other Non-Offenses,North
12316,Miscellaneous/All Other Non-Offenses,Northeast
12317,Family Offenses/Nonviolent (eg: neglect),Downtown
12318,Miscellaneous/All Other Non-Offenses,Southwest
12319,Miscellaneous/Mental Commitment,Southeast
12321,Miscellaneous/All Other Non-Offenses,North
12322,Miscellaneous/All Other Non-Offenses,North
12323,Miscellaneous/All Other Non-Offenses,Southwest
12324,Miscellaneous/All Other Non-Offenses,Northwest
12325,Miscellaneous/Mental Commitment,Northwest
12326,Miscellaneous/Overdose,Southwest
12327,Miscellaneous/All Other Non-Offenses,Southwest
12328,Miscellaneous/All Other Non-Offenses,North
12330,Miscellaneous/Lost Property,Southeast
12331,Miscellaneous/All Other Non-Offenses,North
12332,Miscellaneous/Lost Property,North
12333,Miscellaneous/All Other Non-Offenses,Northwest
12334,Miscellaneous/All Other Non-Offenses,Southeast
12335,Miscellaneous/Overdose Death,Southeast
12336,Miscellaneous/Deceased Person,Downtown
12337,Miscellaneous/All Other Non-Offenses,Northeast
12338,Miscellaneous/Lost Property,North
12340,Miscellaneous/Overdose,Northwest
12341,Miscellaneous/All Other Non-Offenses,Northwest
12342,Miscellaneous/Mental Commitment,Northeast
12343,Miscellaneous/All Other Non-Offenses,Northwest
12344,Miscellaneous/All Other Non-Offenses,Downtown
12345,Miscellaneous/All Other Non-Offenses,Northeast
12346,Miscellaneous/All Other Non-Offenses,Northwest
12347,Miscellaneous/All Other Non-Offenses,Downtown
12348,Miscellaneous/All Other Non-Offenses,Northwest
12350,Miscellaneous/Missing Person (17 & under),Southeast
12351,Miscellaneous/All Other Non-Offenses,Northeast
12353,Miscellaneous/Mental Commitment,Northwest
12354,Miscellaneous/All Other Non-Offenses,Downtown
12356,Miscellaneous/All Other Non-Offenses,North
12357,Miscellaneous/Missing Person (18 & over),Southeast
12358,Miscellaneous/Lost Property,North
12359,Miscellaneous/Mental Commitment,Southwest
12360,Miscellaneous/All Other Non-Offenses,North
12361,Miscellaneous/Found Property,North
12362,Miscellaneous/All Other Non-Offenses,Northeast
12363,Miscellaneous/All Other Non-Offenses,Northeast
12364,Miscellaneous/Lost Property,North
12365,Miscellaneous/All Other Non-Offenses,Southeast
12366,Miscellaneous/Mental Commitment,Southeast
12368,Miscellaneous/All Other Non-Offenses,Southwest
12369,Miscellaneous/All Other Non-Offenses,Southwest
12370,Miscellaneous/All Other Non-Offenses,Southeast
12371,Miscellaneous/All Other Non-Offenses,Southeast
12372,Miscellaneous/Mental Commitment,Southeast
12373,Miscellaneous/Lost Property,Northeast
12374,Miscellaneous/All Other Non-Offenses,Southeast
12377,Miscellaneous/All Other Non-Offenses,Southwest
12378,Miscellaneous/Found Property,North
12379,Miscellaneous/All Other Non-Offenses,North
12382,Miscellaneous/All Other Non-Offenses,Northwest
12383,Miscellaneous/Found Property,Downtown
12384,Miscellaneous/All Other Non-Offenses,Southeast
12385,Miscellaneous/Found Property,Northwest
12386,Miscellaneous/Lost Property,Southwest
12388,Miscellaneous/All Other Non-Offenses,Northeast
12389,Miscellaneous/All Other Non-Offenses,Downtown
12392,Miscellaneous/All Other Non-Offenses,North
12394,Miscellaneous/All Other Non-Offenses,Southwest
12397,Miscellaneous/All Other Non-Offenses,Downtown
12398,Miscellaneous/Lost Property,Southwest
12400,Miscellaneous/All Other Non-Offenses,Northwest
12401,Miscellaneous/Lost Property,Northeast
12406,Miscellaneous/Mental Commitment,Southwest
12407,Sex Offense/Peeping Tom,Northeast
12408,Miscellaneous/All Other Non-Offenses,Northeast
12409,Miscellaneous/Mental Commitment,Northeast
12410,Miscellaneous/Found Property,Southeast
12411,Miscellaneous/All Other Non-Offenses,Southeast
12412,Miscellaneous/All Other Non-Offenses,Northwest
12413,Miscellaneous/All Other Non-Offenses,Northeast
12414,Miscellaneous/All Other Non-Offenses,Northeast
12415,Miscellaneous/Missing Person (18 & over),Northwest
12416,Miscellaneous/Suicide,Northwest
12417,Miscellaneous/All Other Non-Offenses,Southeast
12419,Miscellaneous/All Other Non-Offenses,Northeast
12421,Miscellaneous/All Other Non-Offenses,Southwest
12422,Miscellaneous/Missing Person (18 & over),Northeast
12424,Miscellaneous/All Other Non-Offenses,Southeast
12425,Miscellaneous/Mental Commitment,Southeast
12426,Miscellaneous/All Other Non-Offenses,Southeast
12427,Juvenile/Truancy,Northeast
12428,Miscellaneous/Mental Commitment,Downtown
12429,Miscellaneous/Overdose,Northeast
12430,Miscellaneous/All Other Non-Offenses,Northeast
12431,Miscellaneous/All Other Non-Offenses,Southwest
12432,Miscellaneous/Missing Person (18 & over),Southwest
12434,Miscellaneous/All Other Non-Offenses,Downtown
12435,Miscellaneous/All Other Non-Offenses,Downtown
12436,Miscellaneous/All Other Non-Offenses,Northwest
12438,Miscellaneous/Suicide,Northwest
12441,Miscellaneous/Found Property,Northeast
12442,Miscellaneous/Mental Commitment,Downtown
12444,Miscellaneous/Found Property,Downtown
12445,Miscellaneous/Found Property,Southwest
12446,Juvenile/Runaway,Northeast
12447,Miscellaneous/All Other Non-Offenses,Southwest
12449,Miscellaneous/All Other Non-Offenses,Southeast
12451,Miscellaneous/Found Property,Downtown
12452,Miscellaneous/All Other Non-Offenses,Northeast
12453,Miscellaneous/Deceased Person,North
12454,Miscellaneous/Mental Commitment,Southeast
12455,Miscellaneous/Suicide,Southwest
12456,Miscellaneous/Found Property,Downtown
12457,Miscellaneous/All Other Non-Offenses,Southeast
12458,Miscellaneous/All Other Non-Offenses,Southwest
12459,Miscellaneous/Lost Property,Southwest
12460,Miscellaneous/All Other Non-Offenses,Southwest
12461,Miscellaneous/All Other Non-Offenses,Southeast
12462,Miscellaneous/Mental Commitment,Downtown
12463,Miscellaneous/Lost Property,Northeast
12464,Miscellaneous/All Other Non-Offenses,North
12465,Sex Offense/Peeping Tom,Northeast
12466,Miscellaneous/All Other Non-Offenses,North
12467,Miscellaneous/All Other Non-Offenses,North
12468,Miscellaneous/All Other Non-Offenses,Southeast
12469,Miscellaneous/All Other Non-Offenses,Southwest
12470,Miscellaneous/Found Property,Downtown
12472,Miscellaneous/All Other Non-Offenses,Northeast
12473,Miscellaneous/All Other Non-Offenses,North
12474,Miscellaneous/All Other Non-Offenses,Downtown
12475,Miscellaneous/All Other Non-Offenses,Downtown
12476,Miscellaneous/All Other Non-Offenses,Downtown
12477,Miscellaneous/Mental Commitment,Northwest
12478,Miscellaneous/Mental Commitment,Southeast
12479,Miscellaneous/All Other Non-Offenses,Northeast
12480,Miscellaneous/All Other Non-Offenses,Southwest
12481,Miscellaneous/Deceased Person,Northwest
12482,Miscellaneous/All Other Non-Offenses,Southwest
12483,Miscellaneous/All Other Non-Offenses,Southwest
12485,Miscellaneous/All Other Non-Offenses,Northeast
12487,Miscellaneous/All Other Non-Offenses,Southwest
12488,Miscellaneous/Suicide,Northeast
12489,Miscellaneous/All Other Non-Offenses,Downtown
12490,Miscellaneous/Found Property,Downtown
12491,Miscellaneous/All Other Non-Offenses,Southeast
12492,Miscellaneous/Missing Person (18 & over),Southeast
12493,Miscellaneous/All Other Non-Offenses,Downtown
12495,Miscellaneous/All Other Non-Offenses,Southeast
12496,Miscellaneous/Mental Commitment,Southeast
12497,Miscellaneous/All Other Non-Offenses,Northeast
12498,Miscellaneous/Overdose,North
12499,Miscellaneous/All Other Non-Offenses,Southeast
12500,Miscellaneous/All Other Non-Offenses,Northeast
12501,Miscellaneous/Found Property,Downtown
12502,Miscellaneous/All Other Non-Offenses,Downtown
12503,Miscellaneous/All Other Non-Offenses,Northeast
12504,Miscellaneous/Lost Property,Downtown
12505,Miscellaneous/All Other Non-Offenses,Downtown
12506,Miscellaneous/All Other Non-Offenses,Northwest
12507,Miscellaneous/Mental Commitment,Southeast
12510,Miscellaneous/Mental Commitment,Southeast
12511,Miscellaneous/Lost Property,Northeast
12512,Miscellaneous/Mental Commitment,Southwest
12513,Miscellaneous/Deceased Person,Northwest
12514,Sex Offense/Forcible Fondling,Southeast
12515,Miscellaneous/Found Property,Southeast
12516,Miscellaneous/All Other Non-Offenses,North
12518,Miscellaneous/Found Property,North
12519,Miscellaneous/Found Property,Southeast
12520,Miscellaneous/Deceased Person,Southeast
