Incident_ID,Offense,Zipcode
74747,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74822,DISTURBANCE,27514
74749,B&E RESIDENCE-FORCE,27517
74744,FIGHTING/ AFFRAY,27517
74748,B&E RESIDENCE-FORCE,27514
74745,INFORMATION,27514
74751,SIMPLE ASSAULT-OTHER,27514
74886,FIGHTING/ AFFRAY,27514
74913,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
74885,TRESPASSING,27514
74887,INFORMATION,27514
74891,B&E RESIDENCE-FORCE,27516
74889,SUSPICIOUS PERSON,27516
74890,LARCENY- ALL OTHER,27514
74899,SIMPLE ASSAULT-OTHER,27514
74896,DISTURBING THE PEACE,27514
74901,INFORMATION,27516
74892,SIMPLE ASSAULT-OTHER,27516
74888,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74895,VIOLATION OF CITY ORDINANCE,27514
74894,FOUND PROPERTY,27514
74906,B&E RESIDENCE-FORCE,27516
74920,INFORMATION,27516
74897,ASSISTANCE-,27514
74898,SUSPICIOUS PERSON,27514
74905,LOUD MUSIC/PARTY,27516
74903,DOMESTIC SIMPLE ASSAULT,27514
74904,ASSIST OTHER AGENCY,27514
74900,DISTURBANCE,27514
74902,ALERT OPERATION,27514
74907,FOUND PROPERTY,27514
74769,B&E LARCENY F/VEHICLE,27516
74499,SIMPLE ASSAULT-OTHER,27514
75062,INFORMATION,27514
74770,B&E VEH (ATT LAR F/VEH),27516
74498,INFORMATION,27514
74758,SIMPLE ASSAULT-OTHER,27514
74496,ASSAULT WITH SEXUAL MOTIVE,27516
74759,ALARM,27514
74909,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74183,ALCOHOL COMPLIANCE,27516
74671,SENIOR STRIDERS MALL WALK,27514
74501,SUSPICIOUS PERSON,27514
74765,REFUSING TO PAY FOR A TAXICAB,27516
74910,LOUD MUSIC,27514
74857,ALCOHOL VIOLATIONS,27514
74500,LARCENY FROM BUILDING,27516
74177,SIMPLE ASSAULT-OTHER,27514
74762,SIMPLE POSSESSION,27516
74911,SIMPLE ASSAULT-OTHER,27514
75075,INFORMATION,27516
74502,B&E RESIDENCE-FORCE,27517
74176,LARCENY- FUEL DRIVE OFF,27514
74761,VANDALISM TO VEHICLE,27517
74912,RUNAWAY,27514
74675,LARCENY- ALL OTHER,27514
74505,DEATH INVESTIGATION,27514
74175,INFORMATION,27516
74764,DRIVING WHILE IMPAIRED,27514
74908,ROAD RAGE,27516
74863,ASSIST EMS,27516
74511,SUSPICIOUS PERSONS,27514
74182,LARCENY- ALL OTHER,27514
74914,B&E RESIDENCE NO FORCE,27517
74838,LOUD NOISE,27514
74512,INFORMATION,27514
74186,B&E LARCENY F/VEHICLE,27514
75065,FIGHTING/ AFFRAY,27514
76018,INFORMATION,27514
74918,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27516
74777,DAMAGE TO PROPERTY(NON-CRIMINAL),27516
81345,STOLEN SCOOTER,27514
74672,CAREER FAIR,27517
74503,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
74915,INFORMATION,27517
74767,SUSPICIOUS PERSON,27514
74188,B&E RESIDENCE NO FORCE,27517
74859,OVERDOSE,27517
74513,CHECK WELL-BEING,27514
74919,LOUD MUSIC/PARTY,27514
74774,FRAUD / CREDIT CARD,27514
74187,LARCENY- ALL OTHER,27517
75067,K-9 SNIFF,27519
74506,ASSIST EMS,27516
74921,HARASSING PHONE CALLS-NO THREATS,27514
74775,LARCENY- ALL OTHER,27514
74189,ATM FRAUD,27517
74509,NARCOTIC SNIFF,27514
74673,POINT IN TIME HOMELESS COUNT,27514
74916,DOMESTIC DISTURBANCE,27516
74771,SUSPICIOUS PERSON,27514
74191,ASSAULT WITH SEXUAL MOTIVE (NON-AGGRAVATED),27514
74507,LOUD MUSIC/PARTY,27514
74917,B&E RESIDENCE-FORCE,27514
74860,FORGED PRESCRIPTIONS,27514
76023,INFORMATION,27517
74196,B&E BUSINESS-FORCE,27516
74508,DISTURBING THE PEACE,27514
74992,B&E VEH (ATT LAR F/VEH),27517
75066,FRAUD-ALL OTHER,27517
74773,LARCENY- ALL OTHER,27514
74198,B&E BUSINESS-FORCE,27517
74510,SUSPICIOUS PERSON,27514
74922,INFORMATION,27514
74674,LARCENY OF BICYCLE,27514
74776,INFORMATION,27514
74193,INFORMATION,27517
74526,STRANGULATION,27514
74925,TRESPASS,27514
74866,INFORMATION,27514
